               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.023272,           0.0062914,           0.0031193,             0.92222,             0.73583,             0.81403,             0.48716,            0.026642,           0.0035987,           0.0027529,           0.0083913,           0.0083913,           0.0083913
                  67,            0.023218,           0.0062349,           0.0031602,             0.91964,             0.73717,             0.81431,             0.48792,            0.026612,           0.0036005,           0.0027615,           0.0083665,           0.0083665,           0.0083665
                  68,            0.023236,            0.006288,           0.0031545,             0.92013,             0.73678,             0.81434,             0.48822,            0.026602,           0.0036048,           0.0027677,           0.0083418,           0.0083418,           0.0083418
                  69,            0.023143,           0.0062636,           0.0031284,             0.91728,              0.7394,             0.81431,             0.48806,            0.026597,           0.0036087,           0.0027727,            0.008317,            0.008317,            0.008317
                  70,            0.023179,           0.0062097,           0.0031548,             0.92083,             0.73676,             0.81389,             0.48791,            0.026606,           0.0036182,           0.0027648,           0.0082922,           0.0082922,           0.0082922
                  71,            0.023147,           0.0062515,           0.0031336,             0.92394,             0.73525,             0.81406,             0.48834,            0.026607,           0.0036262,           0.0027603,           0.0082675,           0.0082675,           0.0082675
                  72,            0.022987,           0.0062354,           0.0031091,             0.92591,             0.73377,             0.81394,             0.48866,            0.026619,           0.0036348,           0.0027552,           0.0082428,           0.0082428,           0.0082428
                  73,            0.023145,           0.0062283,           0.0031641,              0.9256,             0.73321,             0.81358,              0.4883,            0.026646,           0.0036446,           0.0027522,            0.008218,            0.008218,            0.008218
                  74,            0.023058,           0.0062289,           0.0031789,             0.92628,             0.73305,             0.81348,             0.48836,            0.026644,           0.0036501,           0.0027641,           0.0081932,           0.0081932,           0.0081932
                  75,            0.022987,           0.0061748,           0.0031451,              0.9234,             0.73497,             0.81354,             0.48801,            0.026655,           0.0036539,           0.0027641,           0.0081685,           0.0081685,           0.0081685
                  76,            0.022906,           0.0062177,            0.003125,             0.91957,             0.73841,             0.81403,             0.48833,            0.026654,           0.0036584,           0.0027662,           0.0081437,           0.0081437,           0.0081437
                  77,            0.023005,           0.0061962,            0.003173,             0.91985,             0.73947,             0.81443,             0.48802,            0.026671,           0.0036673,           0.0027688,            0.008119,            0.008119,            0.008119
                  78,            0.022889,           0.0061959,           0.0031351,              0.9197,             0.74044,             0.81396,             0.48793,            0.026683,           0.0036717,           0.0027631,           0.0080942,           0.0080942,           0.0080942
                  79,            0.022857,           0.0061806,           0.0031273,             0.91894,             0.73998,             0.81312,             0.48785,            0.026705,           0.0036768,           0.0027644,           0.0080695,           0.0080695,           0.0080695
                  80,             0.02286,           0.0061683,           0.0031347,              0.9175,              0.7401,             0.81281,             0.48757,            0.026725,           0.0036825,           0.0027648,           0.0080447,           0.0080447,           0.0080447
                  81,            0.022765,           0.0061847,           0.0031222,             0.91851,             0.73983,             0.81282,             0.48745,            0.026725,           0.0036876,           0.0027577,             0.00802,             0.00802,             0.00802
                  82,            0.022777,           0.0062067,           0.0030983,             0.91817,              0.7401,             0.81301,              0.4876,            0.026723,           0.0036933,           0.0027674,           0.0079953,           0.0079953,           0.0079953
                  83,            0.022658,           0.0061622,           0.0031053,             0.91936,             0.73915,              0.8129,             0.48825,            0.026708,              0.0037,           0.0027732,           0.0079705,           0.0079705,           0.0079705
                  84,            0.022814,           0.0061879,           0.0031426,             0.92011,             0.73882,             0.81303,             0.48866,            0.026669,           0.0037013,            0.002757,           0.0079457,           0.0079457,           0.0079457
                  85,            0.022671,            0.006125,              0.0031,             0.92007,             0.73899,             0.81312,             0.48905,            0.026634,            0.003702,           0.0027568,            0.007921,            0.007921,            0.007921
